Fecha,Factura,Cliente,Telefono5,Subtotal_Prod,TVA,Manutencion,Diversos,TOTAL_GENERAL
11/05/2026,FAC-35065,lolo carro,8492816515,8000.0,15.0,156.0,123.0,8294.0
11/05/2026,FAC-66392,brandol baly,8492587,14400.0,123.0,56.0,156.0,14735.0
11/05/2026,FAC-23197,brandol baly,7894561230,15000.0,159.0,357.0,156.0,15672.0
11/05/2026,FAC-99502,brandol  rjkev,545,1730.0,1345.0,134.0,345.0,3554.0
11/05/2026,FAC-53891,gfd agf,435,181044.0,0.0,0.0,0.0,181044.0
11/05/2026,FAC-47637,fgh dgf,2345,105525.0,0.0,0.0,0.0,105525.0
11/05/2026,FAC-88394,dsgf re,1234,1755898.0,0.0,0.0,0.0,1755898.0
11/05/2026,FAC-30299,sdg srg,2345,3469284.0,0.0,0.0,0.0,3469284.0
11/05/2026,FAC-76796,vdf df,658,47936.0,0.0,0.0,0.0,47936.0
11/05/2026,FAC-21970,PWQOERUI ERW,3456,1655982.0,0.0,0.0,0.0,1655982.0
11/05/2026,FAC-65078,SAF GB,TRY,7547393.0,0.0,0.0,0.0,7547393.0
11/05/2026,FAC-40798,HDT HF,4434663,248976.0,0.0,0.0,0.0,248976.0
11/05/2026,FAC-91398,dsfg qwer,1234,64593730.0,0.0,0.0,0.0,64593730.0
11/05/2026,FAC-56173,sadf aasd,123,15252.0,0.0,0.0,0.0,15252.0
11/05/2026,FAC-87037,salir salir,54,0,0.0,0.0,0.0,0.0
11/05/2026,FAC-11698,dfg sf,3423,0,0.0,0.0,0.0,0.0
12/05/2026,FAC-99714,dfg sdfg,256,0,0.0,0.0,0.0,0.0
12/05/2026,FAC-64863,sb fg,85,0,0.0,0.0,0.0,0.0
12/05/2026,FAC-23869,fdh ert,47675,0,0.0,0.0,0.0,0.0
12/05/2026,FAC-85101,fhk e5du,74767667,0,0.0,0.0,0.0,0.0
12/05/2026,FAC-72071,dfb dsf,759,0,0.0,0.0,0.0,0.0
12/05/2026,FAC-40310,brandol bali,789456,15600.0,0.0,0.0,0.0,15600.0
12/05/2026,FAC-63518,gdg fsfds,354,15210.0,7685.0,5688.0,47.0,28630.0
12/05/2026,FAC-69604,gnfgh hxfh,75676,57259489.0,0.0,0.0,0.0,57259489.0
12/05/2026,FAC-78954,dsf rf,awef,80730.0,0.0,0.0,0.0,80730.0
12/05/2026,FAC-41953,qwer asdf,2345,30041726.0,0.0,0.0,0.0,30041726.0
